1,1,askQuery,1,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
2,2,submitAssignment,1,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
3,3,lectureAttendance,1,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
4,4,lectureAttendance,4,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
5,5,lectureAttendance,7,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
6,6,lectureAttendance,10,abhay,abhay,12/21/2020 23:12,12/21/2020 23:18
7,7,Re-RegisteredForSem,2,riya,riya,12/28/2021 0:18,12/28/2021 0:18
8,8,Re-RegisteredForSem,3,riya,riya,12/28/2021 0:18,12/28/2021 0:18
9,9,Re-RegisteredForSem,4,riya,riya,12/28/2021 0:18,12/28/2021 0:18
10,10,Re-RegisteredForSem,5,riya,riya,12/28/2021 0:18,12/28/2021 0:18
11,11,Re-RegisteredForSem,6,riya,riya,12/28/2021 0:18,12/28/2021 0:18
12,12,ngascealumni,42,riya,riya,11/29/2021 10:58,12/2/2021 9:46
13,13,ngascealumni,82,riya,riya,11/29/2021 10:58,12/30/2021 12:49
14,14,ngascealumni,73,riya,riya,11/29/2021 10:58,12/2/2021 10:22
15,15,ngascealumni,68,riya,riya,11/29/2021 10:58,12/2/2021 10:22
16,16,ngascealumni,39,riya,riya,11/29/2021 10:58,12/2/2021 10:28
17,17,ngascealumni,11,riya,riya,11/29/2021 10:58,12/2/2021 10:30
18,18,ngascealumni,12,riya,riya,11/29/2021 10:58,12/2/2021 10:30
19,19,ngascealumni,48,riya,riya,11/29/2021 10:58,12/30/2021 12:49
20,20,ngascealumni,25,riya,riya,11/29/2021 10:58,12/2/2021 10:48
21,21,ngascealumni,15,riya,riya,11/29/2021 10:58,12/2/2021 10:49
22,22,ngascealumni,69,riya,riya,11/29/2021 10:58,12/2/2021 10:49
23,23,ngascealumni,66,riya,riya,11/29/2021 10:58,12/2/2021 10:49
24,24,ngascealumni,41,riya,riya,11/29/2021 10:58,12/2/2021 10:50
25,25,ngascealumni,72,riya,riya,11/29/2021 10:58,12/2/2021 10:50
26,26,ngascealumni,16,riya,riya,11/29/2021 10:58,12/2/2021 10:51
27,27,ngascealumni,21,riya,riya,11/29/2021 10:58,12/2/2021 10:52
28,28,ngascealumni,74,riya,riya,11/29/2021 10:58,12/2/2021 10:53
29,29,ngascealumni,40,riya,riya,11/29/2021 10:58,12/2/2021 10:53
